request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_250,15007.81,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_251,16.87,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_252,3568184.1,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Wait until 2026-09-15, when the full payment passes the safety check."
request_253,1343.33,affordable_with_plan,installments,2024-03-21:984.6|2024-04-21:984.6|2024-05-22:984.6,2024-05-15,reduce_to:event_23305:45.5,Use supplied installment option payment_option_729; every payment stays above the minimum balance.
request_254,596.58,affordable_later,wait,2025-10-15:3535.2,2025-10-15,none,"Wait until 2025-10-15, when the full payment passes the safety check."
request_255,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_256,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_257,313.06,affordable_later,wait,2026-01-15:1352.4,2026-01-15,reduce_to:event_23673:43,"Wait until 2026-01-15, when the full payment passes the safety check."
request_258,1094.2,affordable_with_plan,full_payment,2026-01-07:1113.6,,stop:event_23715,The full payment passes the 90-day minimum-balance safety check.
request_259,246.01,affordable_later,wait,2024-11-15:935,2024-11-15,none,"Wait until 2024-11-15, when the full payment passes the safety check."
request_260,5894584.82,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_261,1830.4,affordable_now,full_payment,2026-07-03:1830.4,2026-07-03,none,The full payment passes the 90-day minimum-balance safety check.
request_262,9236000,affordable_now,full_payment,2024-12-05:9236000,2024-12-05,none,The full payment passes the 90-day minimum-balance safety check.
request_263,5153.93,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_264,22057.72,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Wait until 2026-06-15, when the full payment passes the safety check."
request_265,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_266,751.36,affordable_later,not_recommended,none,2025-10-15,none,No user-approved payment plan passes the 90-day safety check.
request_267,1602.93,affordable_later,not_recommended,none,2026-03-15,none,No user-approved payment plan passes the 90-day safety check.
request_268,1032.18,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,Use supplied installment option payment_option_770; every payment stays above the minimum balance.
request_269,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_270,75.26,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_271,0,not_affordable,not_recommended,none,,none,No user-approved payment plan passes the 90-day safety check.
request_272,5316520.26,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,Use supplied installment option payment_option_780; every payment stays above the minimum balance.
request_273,9200093.26,affordable_with_plan,partial_payment,2026-04-07:9200093.26|2026-04-15:6660906.74,2026-04-15,none,Pay the safe amount today and the remaining balance on the earliest safe date.
request_274,2038.88,affordable_later,not_recommended,none,2025-02-15,none,No user-approved payment plan passes the 90-day safety check.
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,The full payment passes the 90-day minimum-balance safety check.
